,Name,Calendar_year,Population
0,National,2013,315993715
1,Northeast Region,2013,55901806
2,Midwest Region,2013,67560379
3,South Region,2013,118364400
4,West Region,2013,74167130
5,Alabama,2013,4830081
6,Alaska,2013,737068
7,Arizona,2013,6632764
8,Arkansas,2013,2959400
9,California,2013,38260787
10,Colorado,2013,5269035
11,Connecticut,2013,3594841
12,Delaware,2013,923576
13,District of Columbia,2013,650581
14,Florida,2013,19545621
15,Georgia,2013,9972479
16,Hawaii,2013,1408243
17,Idaho,2013,1611206
18,Illinois,2013,12895129
19,Indiana,2013,6568713
20,Iowa,2013,3092997
21,Kansas,2013,2893212
22,Kentucky,2013,4404659
23,Louisiana,2013,4624527
24,Maine,2013,1328009
25,Maryland,2013,5923188
26,Massachusetts,2013,6713315
27,Michigan,2013,9913065
28,Minnesota,2013,5413479
29,Mississippi,2013,2988711
30,Missouri,2013,6040715
31,Montana,2013,1013569
32,Nebraska,2013,1865279
33,Nevada,2013,2775970
34,New Hampshire,2013,1326622
35,New Jersey,2013,8856972
36,New Mexico,2013,2092273
37,New York,2013,19624447
38,North Carolina,2013,9843336
39,North Dakota,2013,722036
40,Ohio,2013,11576684
41,Oklahoma,2013,3853214
42,Oregon,2013,3922468
43,Pennsylvania,2013,12776309
44,Rhode Island,2013,1055081
45,South Carolina,2013,4764080
46,South Dakota,2013,842316
47,Tennessee,2013,6494340
48,Texas,2013,26480266
49,Utah,2013,2897640
50,Vermont,2013,626210
51,Virginia,2013,8252427
52,Washington,2013,6963985
53,West Virginia,2013,1853914
54,Wisconsin,2013,5736754
55,Wyoming,2013,582122
56,Puerto Rico,2013,3593077
57,National,2014,318301008
58,Northeast Region,2014,56006011
59,Midwest Region,2014,67745167
60,South Region,2014,119624037
61,West Region,2014,74925793
62,Alabama,2014,4841799
63,Alaska,2014,736283
64,Arizona,2014,6730413
65,Arkansas,2014,2967392
66,California,2014,38596972
67,Colorado,2014,5350101
68,Connecticut,2014,3594524
69,Delaware,2014,932487
70,District of Columbia,2014,662328
71,Florida,2014,19845911
72,Georgia,2014,10067278
73,Hawaii,2014,1414538
74,Idaho,2014,1631112
75,Illinois,2014,12884493
76,Indiana,2014,6593644
77,Iowa,2014,3109350
78,Kansas,2014,2900475
79,Kentucky,2014,4414349
80,Louisiana,2014,4644013
81,Maine,2014,1330513
82,Maryland,2014,5957283
83,Massachusetts,2014,6762596
84,Michigan,2014,9929848
85,Minnesota,2014,5451079
86,Mississippi,2014,2990468
87,Missouri,2014,6056202
88,Montana,2014,1021869
89,Nebraska,2014,1879321
90,Nevada,2014,2817628
91,New Hampshire,2014,1333341
92,New Jersey,2014,8864525
93,New Mexico,2014,2089568
94,New York,2014,19651049
95,North Carolina,2014,9932887
96,North Dakota,2014,737401
97,Ohio,2014,11602700
98,Oklahoma,2014,3878187
99,Oregon,2014,3963244
100,Pennsylvania,2014,12788313
101,Rhode Island,2014,1055936
102,South Carolina,2014,4823617
103,South Dakota,2014,849129
104,Tennessee,2014,6541223
105,Texas,2014,26964333
106,Utah,2014,2936879
107,Vermont,2014,625214
108,Virginia,2014,8310993
109,Washington,2014,7054655
110,West Virginia,2014,1849489
111,Wisconsin,2014,5751525
112,Wyoming,2014,582531
113,Puerto Rico,2014,3534874
114,National,2015,320635163
115,Northeast Region,2015,56034684
116,Midwest Region,2015,67860583
117,South Region,2015,120997341
118,West Region,2015,75742555
119,Alabama,2015,4852347
120,Alaska,2015,737498
121,Arizona,2015,6829676
122,Arkansas,2015,2978048
123,California,2015,38918045
124,Colorado,2015,5450623
125,Connecticut,2015,3587122
126,Delaware,2015,941252
127,District of Columbia,2015,675400
128,Florida,2015,20209042
129,Georgia,2015,10178447
130,Hawaii,2015,1422052
131,Idaho,2015,1651059
132,Illinois,2015,12858913
133,Indiana,2015,6608422
134,Iowa,2015,3120960
135,Kansas,2015,2909011
136,Kentucky,2015,4425976
137,Louisiana,2015,4664628
138,Maine,2015,1328262
139,Maryland,2015,5985562
140,Massachusetts,2015,6794228
141,Michigan,2015,9931715
142,Minnesota,2015,5482032
143,Mississippi,2015,2988471
144,Missouri,2015,6071732
145,Montana,2015,1030475
146,Nebraska,2015,1891277
147,Nevada,2015,2866939
148,New Hampshire,2015,1336350
149,New Jersey,2015,8867949
150,New Mexico,2015,2089291
151,New York,2015,19654666
152,North Carolina,2015,10031646
153,North Dakota,2015,754066
154,Ohio,2015,11617527
155,Oklahoma,2015,3909500
156,Oregon,2015,4015792
157,Pennsylvania,2015,12784826
158,Rhode Island,2015,1056065
159,South Carolina,2015,4891938
160,South Dakota,2015,853988
161,Tennessee,2015,6591170
162,Texas,2015,27470056
163,Utah,2015,2981835
164,Vermont,2015,625216
165,Virginia,2015,8361808
166,Washington,2015,7163657
167,West Virginia,2015,1842050
168,Wisconsin,2015,5760940
169,Wyoming,2015,585613
170,Puerto Rico,2015,3473232
171,National,2016,322941311
172,Northeast Region,2016,56042330
173,Midwest Region,2016,67987540
174,South Region,2016,122351760
175,West Region,2016,76559681
176,Alabama,2016,4863525
177,Alaska,2016,741456
178,Arizona,2016,6941072
179,Arkansas,2016,2989918
180,California,2016,39167117
181,Colorado,2016,5539215
182,Connecticut,2016,3578141
183,Delaware,2016,948921
184,District of Columbia,2016,685815
185,Florida,2016,20613477
186,Georgia,2016,10301890
187,Hawaii,2016,1427559
188,Idaho,2016,1682380
189,Illinois,2016,12820527
190,Indiana,2016,6634304
191,Iowa,2016,3131371
192,Kansas,2016,2910844
193,Kentucky,2016,4438182
194,Louisiana,2016,4678135
195,Maine,2016,1331317
196,Maryland,2016,6003323
197,Massachusetts,2016,6823608
198,Michigan,2016,9950571
199,Minnesota,2016,5522744
200,Mississippi,2016,2987938
201,Missouri,2016,6087135
202,Montana,2016,1040859
203,Nebraska,2016,1905616
204,Nevada,2016,2917563
205,New Hampshire,2016,1342307
206,New Jersey,2016,8870827
207,New Mexico,2016,2091630
208,New York,2016,19633428
209,North Carolina,2016,10154788
210,North Dakota,2016,754434
211,Ohio,2016,11634370
212,Oklahoma,2016,3926331
213,Oregon,2016,4089976
214,Pennsylvania,2016,12782275
215,Rhode Island,2016,1056770
216,South Carolina,2016,4957968
217,South Dakota,2016,862996
218,Tennessee,2016,6646010
219,Texas,2016,27914410
220,Utah,2016,3041868
221,Vermont,2016,623657
222,Virginia,2016,8410106
223,Washington,2016,7294771
224,West Virginia,2016,1831023
225,Wisconsin,2016,5772628
226,Wyoming,2016,584215
227,Puerto Rico,2016,3406672
228,National,2017,324985539
229,Northeast Region,2017,56059240
230,Midwest Region,2017,68126781
231,South Region,2017,123542189
232,West Region,2017,77257329
233,Alabama,2017,4874486
234,Alaska,2017,739700
235,Arizona,2017,7044008
236,Arkansas,2017,3001345
237,California,2017,39358497
238,Colorado,2017,5611885
239,Connecticut,2017,3573297
240,Delaware,2017,956823
241,District of Columbia,2017,694906
242,Florida,2017,20963613
243,Georgia,2017,10410330
244,Hawaii,2017,1424393
245,Idaho,2017,1717715
246,Illinois,2017,12778828
247,Indiana,2017,6658078
248,Iowa,2017,3141550
249,Kansas,2017,2908718
250,Kentucky,2017,4452268
251,Louisiana,2017,4670560
252,Maine,2017,1334612
253,Maryland,2017,6023868
254,Massachusetts,2017,6859789
255,Michigan,2017,9973114
256,Minnesota,2017,5566230
257,Mississippi,2017,2988510
258,Missouri,2017,6106670
259,Montana,2017,1052482
260,Nebraska,2017,1915947
261,Nevada,2017,2969905
262,New Hampshire,2017,1348787
263,New Jersey,2017,8885525
264,New Mexico,2017,2091784
265,New York,2017,19589572
266,North Carolina,2017,10268233
267,North Dakota,2017,754942
268,Ohio,2017,11659650
269,Oklahoma,2017,3931316
270,Oregon,2017,4143625
271,Pennsylvania,2017,12787641
272,Rhode Island,2017,1055673
273,South Carolina,2017,5021268
274,South Dakota,2017,872868
275,Tennessee,2017,6708799
276,Texas,2017,28295273
277,Utah,2017,3101042
278,Vermont,2017,624344
279,Virginia,2017,8463587
280,Washington,2017,7423362
281,West Virginia,2017,1817004
282,Wisconsin,2017,5790186
283,Wyoming,2017,578931
284,Puerto Rico,2017,3325286
285,National,2018,326687501
286,Northeast Region,2018,56046620
287,Midwest Region,2018,68236628
288,South Region,2018,124569433
289,West Region,2018,77834820
290,Alabama,2018,4887681
291,Alaska,2018,735139
292,Arizona,2018,7158024
293,Arkansas,2018,3009733
294,California,2018,39461588
295,Colorado,2018,5691287
296,Connecticut,2018,3571520
297,Delaware,2018,965479
298,District of Columbia,2018,701547
299,Florida,2018,21244317
300,Georgia,2018,10511131
301,Hawaii,2018,1420593
302,Idaho,2018,1750536
303,Illinois,2018,12723071
304,Indiana,2018,6695497
305,Iowa,2018,3148618
306,Kansas,2018,2911359
307,Kentucky,2018,4461153
308,Louisiana,2018,4659690
309,Maine,2018,1339057
310,Maryland,2018,6035802
311,Massachusetts,2018,6882635
312,Michigan,2018,9984072
313,Minnesota,2018,5606249
314,Mississippi,2018,2981020
315,Missouri,2018,6121623
316,Montana,2018,1060665
317,Nebraska,2018,1925614
318,Nevada,2018,3027341
319,New Hampshire,2018,1353465
320,New Jersey,2018,8886025
321,New Mexico,2018,2092741
322,New York,2018,19530351
323,North Carolina,2018,10381615
324,North Dakota,2018,758080
325,Ohio,2018,11676341
326,Oklahoma,2018,3940235
327,Oregon,2018,4181886
328,Pennsylvania,2018,12800922
329,Rhode Island,2018,1058287
330,South Carolina,2018,5084156
331,South Dakota,2018,878698
332,Tennessee,2018,6771631
333,Texas,2018,28628666
334,Utah,2018,3153550
335,Vermont,2018,624358
336,Virginia,2018,8501286
337,Washington,2018,7523869
338,West Virginia,2018,1804291
339,Wisconsin,2018,5807406
340,Wyoming,2018,577601
341,Puerto Rico,2018,3193354
342,National,2019,328239523
343,Northeast Region,2019,55982803
344,Midwest Region,2019,68329004
345,South Region,2019,125580448
346,West Region,2019,78347268
347,Alabama,2019,4903185
348,Alaska,2019,731545
349,Arizona,2019,7278717
350,Arkansas,2019,3017804
351,California,2019,39512223
352,Colorado,2019,5758736
353,Connecticut,2019,3565287
354,Delaware,2019,973764
355,District of Columbia,2019,705749
356,Florida,2019,21477737
357,Georgia,2019,10617423
358,Hawaii,2019,1415872
359,Idaho,2019,1787065
360,Illinois,2019,12671821
361,Indiana,2019,6732219
362,Iowa,2019,3155070
363,Kansas,2019,2913314
364,Kentucky,2019,4467673
365,Louisiana,2019,4648794
366,Maine,2019,1344212
367,Maryland,2019,6045680
368,Massachusetts,2019,6892503
369,Michigan,2019,9986857
370,Minnesota,2019,5639632
371,Mississippi,2019,2976149
372,Missouri,2019,6137428
373,Montana,2019,1068778
374,Nebraska,2019,1934408
375,Nevada,2019,3080156
376,New Hampshire,2019,1359711
377,New Jersey,2019,8882190
378,New Mexico,2019,2096829
379,New York,2019,19453561
380,North Carolina,2019,10488084
381,North Dakota,2019,762062
382,Ohio,2019,11689100
383,Oklahoma,2019,3956971
384,Oregon,2019,4217737
385,Pennsylvania,2019,12801989
386,Rhode Island,2019,1059361
387,South Carolina,2019,5148714
388,South Dakota,2019,884659
389,Tennessee,2019,6829174
390,Texas,2019,28995881
391,Utah,2019,3205958
392,Vermont,2019,623989
393,Virginia,2019,8535519
394,Washington,2019,7614893
395,West Virginia,2019,1792147
396,Wisconsin,2019,5822434
397,Wyoming,2019,578759
398,Puerto Rico,2019,3193694
399,National,2020,329866515
400,Northeast Region,2020,55944584
401,Midwest Region,2020,68430115
402,South Region,2020,126599577
403,West Region,2020,78892237
404,Alabama,2020,4917534
405,Alaska,2020,727467
406,Arizona,2020,7396071
407,Arkansas,2020,3026033
408,California,2020,39589086
409,Colorado,2020,5832161
410,Connecticut,2020,3561282
411,Delaware,2020,982234
412,District of Columbia,2020,711170
413,Florida,2020,21734799
414,Georgia,2020,10720969
415,Hawaii,2020,1411611
416,Idaho,2020,1821740
417,Illinois,2020,12618317
418,Indiana,2020,6769289
419,Iowa,2020,3161830
420,Kansas,2020,2915612
421,Kentucky,2020,4475375
422,Louisiana,2020,4637911
423,Maine,2020,1349012
424,Maryland,2020,6056586
425,Massachusetts,2020,6908860
426,Michigan,2020,9993728
427,Minnesota,2020,5676333
428,Mississippi,2020,2969968
429,Missouri,2020,6152807
430,Montana,2020,1076926
431,Nebraska,2020,1943638
432,Nevada,2020,3135281
433,New Hampshire,2020,1365173
434,New Jersey,2020,8880522
435,New Mexico,2020,2099351
436,New York,2020,19385555
437,North Carolina,2020,10598009
438,North Dakota,2020,765622
439,Ohio,2020,11703825
440,Oklahoma,2020,3969798
441,Oregon,2020,4254793
442,Pennsylvania,2020,12809163
443,Rhode Island,2020,1061205
444,South Carolina,2020,5212437
445,South Dakota,2020,890554
446,Tennessee,2020,6889361
447,Texas,2020,29346185
448,Utah,2020,3258416
449,Vermont,2020,623811
450,Virginia,2020,8571485
451,Washington,2020,7710658
452,West Virginia,2020,1779718
453,Wisconsin,2020,5838558
454,Wyoming,2020,578673
455,Puerto Rico,2020,3127898
